ORIGSA1_2021,DESTSA1_2021,Predicted_Prob,Predicted_Flow
11703133106,11703133152,0.0,0.0
11703133309,11703133304,0.2889768,938.1047
11703164205,11703164712,0.0,0.0
11801134506,11801134509,0.0,0.0
11703133616,11703164536,0.0,0.0
11703164316,11703164319,0.0,0.0
11703132905,11703164402,0.0,0.0
11703164702,11703164732,0.0,0.0
11703132915,11703132917,0.17350122,342.2019
11703164536,11703164512,0.0,0.0
11703164526,11703164530,0.0,0.0
11703164601,11703163912,0.0,0.0
11703133127,11703133139,0.43848437,483.22968
11703164121,11703164103,0.0,0.0
11703133144,11703133144,0.0,0.0
11703163911,11703163905,0.14648575,396.22656
11703164611,11703164608,0.0,0.0
11703132925,11703133321,0.0,0.0
11703164227,11703164224,0.0,0.0
11703163817,11703163814,0.0,0.0
11703164415,11703164421,0.0,0.0
11703164208,11703163907,0.0,0.0
11703133042,11703133051,0.0,0.0
11703164421,11703164411,0.0,0.0
11703164730,11703164721,0.0,0.0
11703133331,11703133304,0.28060102,146.67032
11703133311,11703133307,0.0,0.0
11703164718,11703164718,0.0,0.0
11703164103,11703164114,0.0,0.0
11703133334,11801165019,0.04401222,22.013119
11801134712,11801134534,0.44599527,232.50528
11703133617,11703133618,0.0,0.0
11703164210,11703164016,0.0,0.0
11703164506,11703164613,0.0,0.0
11703133125,11703133124,0.0,0.0
11703164712,11703164720,0.0,0.0
11703164013,11703133026,0.0,0.0
11703164024,11703164024,0.6522893,331.9842
11703164303,11701163407,0.2650805,286.79962
11703133029,11702132820,0.0,0.0
11703164413,11703164415,0.0,0.0
11703164003,11703133040,0.0,0.0
11703133309,11703133314,0.21474019,697.11053
11703133618,11703133624,0.0,0.0
11703164402,11703133614,0.0,0.0
11703164004,11703164004,0.4186045,403.25482
11703163816,11703164032,0.08101156,39.63197
11703163904,11703163915,0.0,0.0
11703164812,11703164802,0.0,0.0
11703132909,11703133611,0.0,0.0
11703133106,11703163814,0.0,0.0
11703164801,11703164311,0.0,0.0
11703133619,11703164521,0.0,0.0
11703164610,11703164511,0.0,0.0
11703164617,11703164608,0.0,0.0
11703164228,11703164227,0.0,0.0
11703133140,11703133146,0.0,0.0
11703164125,11703164613,0.0,0.0
11703133611,11703133634,0.0,0.0
11703164812,11703164820,0.016928256,7.466949
11703133332,11703133302,0.0,0.0
11703164008,11703133045,0.0,0.0
11703164704,11703164710,0.2419551,140.67484
11703133037,11703133046,0.2859172,126.97043
11703164001,11703164021,0.0,0.0
11703164318,11701163404,0.0,0.0
11703163807,11703163804,0.0,0.0
11703164517,11703164507,0.0,0.0
11703132911,11703132924,0.0,0.0
11703164613,11703164616,0.0,0.0
11703164002,11703164032,0.006973088,3.9039853
11703164731,11703133629,0.0,0.0
11703164527,11703164510,0.0,0.0
11703133616,11703133603,0.0,0.0
11703133013,11703133047,0.0,0.0
11703164521,11703164535,0.0,0.0
11703164532,11703164523,0.0,0.0
11703164005,11703164008,0.0,0.0
11703164412,11703164414,0.0,0.0
11703164228,11703164231,0.0,0.0
11703164801,11703164312,0.0,0.0
11703164123,11703164407,0.0,0.0
11703133049,11703133031,0.0,0.0
11703163809,11703163819,0.0,0.0
11703132915,11703164528,0.1826913,360.3278
11703133038,11703133020,0.0,0.0
11703164002,11703163816,0.049743354,27.849545
11703163811,11703164013,0.0,0.0
11703164312,11703164318,0.0,0.0
11703163903,11703163903,0.6628101,384.4103
11703164103,11703164121,0.0,0.0
11703164609,11703133128,0.0,0.0
11703164005,11703164032,0.0,0.0
11703133123,11703133139,0.3369429,176.66273
11703133348,11703133311,0.0,0.0
11703163805,11703164017,0.0,0.0
11703164416,11703164421,0.0,0.0
11703163803,11703163819,0.0,0.0
11703164316,11703133035,0.23203668,145.21773
11801134501,11801134501,0.052964896,68.40915
11703133310,11703133310,0.0,0.0
11703164313,11703133020,0.0,0.0
11703164212,11703163805,0.0,0.0
11703133115,11703133117,0.0,0.0
11703164032,11703164004,0.0,0.0
11703133352,11703132923,0.0,0.0
11703133605,11703133610,0.0,0.0
11703133115,11703133137,0.0,0.0
11801134506,11801134529,0.0,0.0
11703164003,11703164011,0.0,0.0
11703164814,11703164807,0.0,0.0
11703132906,11703132904,0.0,0.0
11703163904,11703164608,0.0,0.0
11703164820,11703164804,0.0,0.0
11703164314,11703164319,0.0,0.0
