GEOID,Weighted Population,stations,Edge Density (KM),Street Node Average,Number of Links/Number of Nodes,Intersection Count,%of commercial landuse,%of education landuse,%of industrial landuse,%of other landuse,%of parkland landuse,%of primary production landuse,%of residential landuse,%of transport landuse,%of water landuse,Weekly household income,Household median age
36005000100,2950,2,27740.30867717836,0.0,2.5470852017937218,327.0,0.0,11.721100992958918,0.0,20.980262717101738,21.02785056335843,0.0,0.0,7.401825678163838,38.8689600484171,0.0,35.4
36005000200,5061,4,26802.724722867268,0.0,3.3176470588235296,224.0,0.0320036606553867,0.0527699605319901,0.0219662489352325,15.712895097321915,10.630364139817663,0.0,2.5498338369874833,4.888575631269005,66.11159142448132,2379.4,39.2
36005000400,6649,8,38406.71692137933,0.0,3.166253101736973,346.0,0.0310625398789879,0.2008679911635751,0.0,13.853392132551036,25.77683165368049,0.0,4.850371426336173,8.156018267934936,47.1314559884548,2037.0,34.9
36005001600,5611,11,86798.70870084451,0.0,3.42671009771987,287.0,0.2654794308316541,5.198670159680185,0.0,32.09960575047412,37.419280832403416,0.0,7.6580679503112945,17.358895876299325,0.0,1002.83,45.5
36005001901,2260,1,68558.17806275189,0.0,3.4402985074626864,124.0,3.224760106014937,1.010003850877368,3.171282377308237,34.10029348105575,12.501730335270214,0.0,11.0713638700903,34.34857910853903,0.5719868708441533,1116.98,35.7
36005001902,2079,4,73539.81277295889,0.0,3.3516819571865444,297.0,2.0840760831025973,0.599745141909983,17.082621235294653,23.25855315080313,12.604360953376524,0.0,4.4740025758948985,39.8966408596182,0.0,941.4,39.3
36005001903,0,6,14732.494037084894,0.0,2.8461538461538463,79.0,0.4030451147392753,0.0,19.175490124341728,41.04736935038702,9.044894825370053,0.0,0.1106803999778981,29.00507667575173,1.2134435094322882,0.0,0.0
36005001904,0,0,,,,,0.0,0.0915209237620269,0.0,2.2838074248237734,6.3428204816485465,0.0,0.0,0.0309582989803116,91.25089287078534,0.0,0.0
36005002001,4199,0,104925.76349470232,0.0,2.975510204081633,206.0,0.0,0.7637936124033754,0.0,22.458722351513103,56.13979145702064,0.0,12.703591034023797,7.934101545039095,0.0,429.06,34.1
36005002002,3609,8,100915.93182431442,0.0,3.5436241610738257,143.0,1.6228887485624808,0.7043613862744282,0.0,30.91222421569833,25.19947606672244,0.0,25.123914356057345,16.437135226684966,0.0,358.63,47.5
36005002300,4567,11,91180.41116367496,0.0,3.197674418604651,75.0,0.0852618423874214,2.096038557200287,0.283880689061368,26.069712497451217,42.35658117536504,0.0,13.079393774603256,16.029131463931417,0.0,314.08,30.8
36005002400,105,0,25358.925167803445,0.0,3.0253164556962027,138.0,0.0,0.0076277716216328,0.0,13.183913544129542,56.6216021068041,0.0,0.0,3.3652105970823523,26.821645980362376,0.0,37.1
36005002500,5117,8,31450.74967234646,0.0,3.1666666666666665,47.0,1.60437345668851,2.401661942554904,0.0,30.60108990692791,22.81688951755075,0.0,22.820202064984855,19.755783111293074,0.0,684.27,32.1
36005002701,3111,1,101689.32520953234,0.0,3.3055555555555554,65.0,1.4814425963149702,0.2043369098365476,0.3065053647548214,23.400869602965077,39.78771773542086,0.0,16.168076256052892,18.65105153465481,0.0,389.73,33.5
36005002702,4798,10,58528.66221142444,0.0,3.3142857142857145,93.0,2.455006912988058,1.97122787343045,5.174173971267323,34.008178176076626,11.049497622595084,0.0,20.628565809514217,24.713349634128257,0.0,594.13,33.5
36005002800,5462,12,85568.4141924345,0.0,3.078864353312303,283.0,1.845699829080313,0.6853446298922868,0.8319838671699769,33.08443309901084,32.69456044746953,0.0,6.216506645895043,20.53865638627615,4.102815095205855,1116.69,37.8
36005003100,2788,7,44131.84865881496,0.0,3.0,49.0,2.928116554884884,0.0,13.567156193750838,35.87654883339375,5.0646324676530226,0.0,10.132564709755048,32.430981240562446,0.0,1140.33,30.0
36005003300,3577,2,38164.39868075621,0.0,2.962962962962963,45.0,0.0848936823752802,3.1919150969836365,3.6137370048392583,40.50644733809512,18.9572491453361,0.0,13.755962627305848,19.889795105064756,0.0,601.71,35.6
36005003500,3481,4,32047.90125422881,0.0,3.276595744680851,42.0,1.2355144476996125,10.287704276377047,4.870997771153286,28.023687989945195,16.92929806473157,0.0,17.053379634699887,21.599417815393412,0.0,703.25,33.7
36005003700,418,1,77112.48328168504,0.0,3.1147540983606556,119.0,0.0,0.475773515320644,0.0,19.5732947004482,72.97700491876985,0.0,1.8081849187424837,5.165741946718838,0.0,1019.79,30.5
